,writer,title
0,Rakii,라이브 방송 보기 오픈/스트리머 등록 안내
1,Rakii,홍보/불법/거래글에 대한 당부의 말씀
2,Rakii,아이템 판매 등 거래 게시물은 무통보 삭제..
3,Rakii,버땅 신규 몬스터 추가! 13일 업데이트 ..
4,Rakii,선택받은 자의 용기
5,Rakii,꽃다발 강화 이벤트
6,주정뷰리,그냥 라던 렙제 도입이 답임
7,슈마하,오만5층 질문...
8,프로게임마,작업장만 잡으면 라던이고 모고 다 해결됨
9,옥끄전사,무과금 하렵니다..
10,역시검레기,라던 해결책 알려줌
11,미운오리새끼,라던
12,너임마청년,무과금입장에서 라던부캐 정상 비정상여부 정..
13,yama15,라던은 항상 씨끄럽네요
14,히야아아아,총사 7악라 살까하는데
15,착취자김택진,라던 오만 8층 수준으로 상향하라
16,무뇌,라바 부캐 돌아가나요?
17,이것은디스,오시검 디버프 잘 안들어가나요?
18,핫도그700원,형이 라던 부캐충 해결방안 알려준다
19,쏘이드링크,근거리형들 라바 돌면 천마리 주간 도감 못..
20,댜블롯,시벌 벌레새끼가  ㅈㄴ 도배하네
21,헬린이,리세하는 형들은 솔직히 존경한다
22,헬린이,형들 페글은 어떻다 생각함?
23,문화대통령,형들 지령3단 8악지는 얼마정도해?
24,헬린이,가끔 멍청한건지 라던 상시하자는놈 있는데 ..
25,뭔데그래,거래사이트에 제발..
26,헬린이,이게 스타크래프트 scv냐 ㅅ붕련아?
27,옥끄전사,화던2층 스펙
28,불포니앵벌이,라던은 평일입장하면 다 죽는거다
29,수도사만세1,중소과금 암기무기  결정
30,암기암걸려,nc입장에선 무소과금 돈 뽑아먹을라면
31,헬린이,니들 라바보고 느낀거 없냐?
32,더위산양,89는 88경치 몇배인가요
33,두둠칫두,형들나좀말려줘... 반방  지를거같애
34,칼장군,구섭캐릭정리하고
35,프로게임마,고급변신중에 드래이크 개간지네요
36,무덕산송이,복수텔 궁금
37,라시드03,이젠 다케릭이 강제된 상황입니다
38,탑녹,다캐릭 하시는분들
39,드론읻,오만은 무아인사냥 하면안되는곳인가요?
40,고경만,라던 평일도 상시입장으로 바꿔라 엔씨야
41,멍꾸뉴비,진짜 오만 5층 ㅋ
42,고주망고, 2030년에서 왔습니다 질문 받습니다
43,멍꾸뉴비,3주년때 경험치 합산권 주겠지 형들?
44,째빛,이정도 스펙이면 대충 평균 계정가격이 얼마..
45,심심심심신,깡통 잡전설 얼마쯤함?
46,뎀벨레,6월 복구될 장비 지르실건가요?
47,왈왈음메,뇌피셜예언글) 스페셜 뽑기 강화버전
48,뎀벨레,어제 200쓰고 건진건 있어서 정신승리 중
49,프로게임마,용옥 먹고 필드중 어디가 득템이 잘되나요?
50,착취자김택진,라던을 오만 6~7층수준 상향하면 좋은점
51,쏘나타터보,인형 스킬사용시 분홍색 이펙트 색깔?
52,라스트킹덤짱,조립pc 사양좀 봐주세요
53,모로오카,형들 구글 구매내역 삭제돼??
54,푸른레몬,장비에 죽음이 자꾸 붙어
55,안서동쭈구리,전비로 뭐 만드는게 젤 이득일까요?
56,이것은디스,신검 7비수 7오시 추천좀
57,떠라에몽,리니지에서 놀러옴
58,푸른레몬,수호성 탭 더 나올것 같지 않음?
59,리빠떵,악장각인 러쉬 해도괜찮을까요??
60,착취자김택진,"라던 부캐, 작업장 해결방법"
61,OoSuMaoO,형님들 문양 3칸 100% 시간제한 있나요..
62,무과금영,100방 오만1~2층 화던 플레이하는방식 ..
63,혈기린,리니지 3주년 되가는데 안망할까요
64,A1082,라던 계정단위로하면 님들만손해져
65,피팡31,신검172방29리덕 84 vs 기사87렙 ..
66,멍꾸뉴비,8번째 빨템 연금
67,Skshsja,형들 신성검사 방반이야 용반이야?
68,리오88,무과금 부캐충 라던출입제한
